image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
00690.png,13.653960,0.472141,0.375674,data/result_lol/lolv2_real/00690.png,data/LOL-v2/Real_captured/Test/Low/00690.png,data/LOL-v2/Real_captured/Test/Normal/00690.png
00691.png,13.576072,0.438129,0.381481,data/result_lol/lolv2_real/00691.png,data/LOL-v2/Real_captured/Test/Low/00691.png,data/LOL-v2/Real_captured/Test/Normal/00691.png
00692.png,15.214498,0.541444,0.307463,data/result_lol/lolv2_real/00692.png,data/LOL-v2/Real_captured/Test/Low/00692.png,data/LOL-v2/Real_captured/Test/Normal/00692.png
00693.png,15.056726,0.557304,0.304424,data/result_lol/lolv2_real/00693.png,data/LOL-v2/Real_captured/Test/Low/00693.png,data/LOL-v2/Real_captured/Test/Normal/00693.png
00694.png,16.461281,0.551774,0.328040,data/result_lol/lolv2_real/00694.png,data/LOL-v2/Real_captured/Test/Low/00694.png,data/LOL-v2/Real_captured/Test/Normal/00694.png
00695.png,16.466106,0.550332,0.334476,data/result_lol/lolv2_real/00695.png,data/LOL-v2/Real_captured/Test/Low/00695.png,data/LOL-v2/Real_captured/Test/Normal/00695.png
00696.png,16.437589,0.356175,0.509665,data/result_lol/lolv2_real/00696.png,data/LOL-v2/Real_captured/Test/Low/00696.png,data/LOL-v2/Real_captured/Test/Normal/00696.png
00697.png,16.374497,0.349151,0.508219,data/result_lol/lolv2_real/00697.png,data/LOL-v2/Real_captured/Test/Low/00697.png,data/LOL-v2/Real_captured/Test/Normal/00697.png
00698.png,16.635007,0.284422,0.683925,data/result_lol/lolv2_real/00698.png,data/LOL-v2/Real_captured/Test/Low/00698.png,data/LOL-v2/Real_captured/Test/Normal/00698.png
00699.png,16.475437,0.268466,0.693783,data/result_lol/lolv2_real/00699.png,data/LOL-v2/Real_captured/Test/Low/00699.png,data/LOL-v2/Real_captured/Test/Normal/00699.png
00700.png,9.984351,0.494467,0.420050,data/result_lol/lolv2_real/00700.png,data/LOL-v2/Real_captured/Test/Low/00700.png,data/LOL-v2/Real_captured/Test/Normal/00700.png
00701.png,10.006489,0.501105,0.414817,data/result_lol/lolv2_real/00701.png,data/LOL-v2/Real_captured/Test/Low/00701.png,data/LOL-v2/Real_captured/Test/Normal/00701.png
00702.png,16.798331,0.453975,0.582291,data/result_lol/lolv2_real/00702.png,data/LOL-v2/Real_captured/Test/Low/00702.png,data/LOL-v2/Real_captured/Test/Normal/00702.png
00703.png,16.794203,0.453018,0.583922,data/result_lol/lolv2_real/00703.png,data/LOL-v2/Real_captured/Test/Low/00703.png,data/LOL-v2/Real_captured/Test/Normal/00703.png
00704.png,16.765411,0.450333,0.581810,data/result_lol/lolv2_real/00704.png,data/LOL-v2/Real_captured/Test/Low/00704.png,data/LOL-v2/Real_captured/Test/Normal/00704.png
00705.png,17.373778,0.360869,0.703652,data/result_lol/lolv2_real/00705.png,data/LOL-v2/Real_captured/Test/Low/00705.png,data/LOL-v2/Real_captured/Test/Normal/00705.png
00706.png,16.677821,0.369403,0.727209,data/result_lol/lolv2_real/00706.png,data/LOL-v2/Real_captured/Test/Low/00706.png,data/LOL-v2/Real_captured/Test/Normal/00706.png
00707.png,17.314823,0.359841,0.707165,data/result_lol/lolv2_real/00707.png,data/LOL-v2/Real_captured/Test/Low/00707.png,data/LOL-v2/Real_captured/Test/Normal/00707.png
00708.png,14.017638,0.383842,0.507100,data/result_lol/lolv2_real/00708.png,data/LOL-v2/Real_captured/Test/Low/00708.png,data/LOL-v2/Real_captured/Test/Normal/00708.png
00709.png,13.703404,0.396992,0.491841,data/result_lol/lolv2_real/00709.png,data/LOL-v2/Real_captured/Test/Low/00709.png,data/LOL-v2/Real_captured/Test/Normal/00709.png
00710.png,12.423335,0.599694,0.402797,data/result_lol/lolv2_real/00710.png,data/LOL-v2/Real_captured/Test/Low/00710.png,data/LOL-v2/Real_captured/Test/Normal/00710.png
00711.png,12.444239,0.599422,0.405208,data/result_lol/lolv2_real/00711.png,data/LOL-v2/Real_captured/Test/Low/00711.png,data/LOL-v2/Real_captured/Test/Normal/00711.png
00712.png,13.940113,0.789400,0.228022,data/result_lol/lolv2_real/00712.png,data/LOL-v2/Real_captured/Test/Low/00712.png,data/LOL-v2/Real_captured/Test/Normal/00712.png
00713.png,13.884443,0.790058,0.226998,data/result_lol/lolv2_real/00713.png,data/LOL-v2/Real_captured/Test/Low/00713.png,data/LOL-v2/Real_captured/Test/Normal/00713.png
00714.png,11.848338,0.557333,0.346633,data/result_lol/lolv2_real/00714.png,data/LOL-v2/Real_captured/Test/Low/00714.png,data/LOL-v2/Real_captured/Test/Normal/00714.png
00715.png,11.888515,0.549043,0.346423,data/result_lol/lolv2_real/00715.png,data/LOL-v2/Real_captured/Test/Low/00715.png,data/LOL-v2/Real_captured/Test/Normal/00715.png
00716.png,10.534293,0.619780,0.380656,data/result_lol/lolv2_real/00716.png,data/LOL-v2/Real_captured/Test/Low/00716.png,data/LOL-v2/Real_captured/Test/Normal/00716.png
00717.png,16.403074,0.350859,0.637584,data/result_lol/lolv2_real/00717.png,data/LOL-v2/Real_captured/Test/Low/00717.png,data/LOL-v2/Real_captured/Test/Normal/00717.png
00718.png,9.052237,0.537779,0.388530,data/result_lol/lolv2_real/00718.png,data/LOL-v2/Real_captured/Test/Low/00718.png,data/LOL-v2/Real_captured/Test/Normal/00718.png
00719.png,9.076888,0.540102,0.390954,data/result_lol/lolv2_real/00719.png,data/LOL-v2/Real_captured/Test/Low/00719.png,data/LOL-v2/Real_captured/Test/Normal/00719.png
00720.png,11.093727,0.452734,0.393744,data/result_lol/lolv2_real/00720.png,data/LOL-v2/Real_captured/Test/Low/00720.png,data/LOL-v2/Real_captured/Test/Normal/00720.png
