image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
r00816405t.png,17.342133,0.886601,0.220883,data/result_lol/lolv2_syn/r00816405t.png,data/LOL-v2/Synthetic/Test/Low/r00816405t.png,data/LOL-v2/Synthetic/Test/Normal/r00816405t.png
r00869422t.png,14.157609,0.702055,0.280561,data/result_lol/lolv2_syn/r00869422t.png,data/LOL-v2/Synthetic/Test/Low/r00869422t.png,data/LOL-v2/Synthetic/Test/Normal/r00869422t.png
r00879054t.png,18.758348,0.873199,0.255360,data/result_lol/lolv2_syn/r00879054t.png,data/LOL-v2/Synthetic/Test/Low/r00879054t.png,data/LOL-v2/Synthetic/Test/Normal/r00879054t.png
r01058910t.png,7.858937,0.697124,0.294787,data/result_lol/lolv2_syn/r01058910t.png,data/LOL-v2/Synthetic/Test/Low/r01058910t.png,data/LOL-v2/Synthetic/Test/Normal/r01058910t.png
r01170470t.png,22.483738,0.922338,0.123484,data/result_lol/lolv2_syn/r01170470t.png,data/LOL-v2/Synthetic/Test/Low/r01170470t.png,data/LOL-v2/Synthetic/Test/Normal/r01170470t.png
r01474187t.png,10.635049,0.730849,0.319969,data/result_lol/lolv2_syn/r01474187t.png,data/LOL-v2/Synthetic/Test/Low/r01474187t.png,data/LOL-v2/Synthetic/Test/Normal/r01474187t.png
r0150031ft.png,15.352558,0.885022,0.200621,data/result_lol/lolv2_syn/r0150031ft.png,data/LOL-v2/Synthetic/Test/Low/r0150031ft.png,data/LOL-v2/Synthetic/Test/Normal/r0150031ft.png
r01559391t.png,14.547529,0.656750,0.241947,data/result_lol/lolv2_syn/r01559391t.png,data/LOL-v2/Synthetic/Test/Low/r01559391t.png,data/LOL-v2/Synthetic/Test/Normal/r01559391t.png
r02189767t.png,20.744857,0.806176,0.159505,data/result_lol/lolv2_syn/r02189767t.png,data/LOL-v2/Synthetic/Test/Low/r02189767t.png,data/LOL-v2/Synthetic/Test/Normal/r02189767t.png
r02354285t.png,20.902512,0.830523,0.244246,data/result_lol/lolv2_syn/r02354285t.png,data/LOL-v2/Synthetic/Test/Low/r02354285t.png,data/LOL-v2/Synthetic/Test/Normal/r02354285t.png
r02508493t.png,20.775765,0.880901,0.223885,data/result_lol/lolv2_syn/r02508493t.png,data/LOL-v2/Synthetic/Test/Low/r02508493t.png,data/LOL-v2/Synthetic/Test/Normal/r02508493t.png
r0287344at.png,16.407504,0.874699,0.143538,data/result_lol/lolv2_syn/r0287344at.png,data/LOL-v2/Synthetic/Test/Low/r0287344at.png,data/LOL-v2/Synthetic/Test/Normal/r0287344at.png
r02897203t.png,20.268496,0.946864,0.127197,data/result_lol/lolv2_syn/r02897203t.png,data/LOL-v2/Synthetic/Test/Low/r02897203t.png,data/LOL-v2/Synthetic/Test/Normal/r02897203t.png
r03193652t.png,16.485651,0.818901,0.220173,data/result_lol/lolv2_syn/r03193652t.png,data/LOL-v2/Synthetic/Test/Low/r03193652t.png,data/LOL-v2/Synthetic/Test/Normal/r03193652t.png
r0341853dt.png,19.708369,0.864824,0.249733,data/result_lol/lolv2_syn/r0341853dt.png,data/LOL-v2/Synthetic/Test/Low/r0341853dt.png,data/LOL-v2/Synthetic/Test/Normal/r0341853dt.png
r0372042dt.png,11.095198,0.510247,0.359622,data/result_lol/lolv2_syn/r0372042dt.png,data/LOL-v2/Synthetic/Test/Low/r0372042dt.png,data/LOL-v2/Synthetic/Test/Normal/r0372042dt.png
r04317453t.png,22.200997,0.915750,0.153790,data/result_lol/lolv2_syn/r04317453t.png,data/LOL-v2/Synthetic/Test/Low/r04317453t.png,data/LOL-v2/Synthetic/Test/Normal/r04317453t.png
r0465565ct.png,19.656485,0.905622,0.197356,data/result_lol/lolv2_syn/r0465565ct.png,data/LOL-v2/Synthetic/Test/Low/r0465565ct.png,data/LOL-v2/Synthetic/Test/Normal/r0465565ct.png
r05243256t.png,10.101043,0.603024,0.245431,data/result_lol/lolv2_syn/r05243256t.png,data/LOL-v2/Synthetic/Test/Low/r05243256t.png,data/LOL-v2/Synthetic/Test/Normal/r05243256t.png
r05772356t.png,20.804470,0.946767,0.127026,data/result_lol/lolv2_syn/r05772356t.png,data/LOL-v2/Synthetic/Test/Low/r05772356t.png,data/LOL-v2/Synthetic/Test/Normal/r05772356t.png
